公司代码 	公司简称 	代码	简称	上市日期	
688001	  华兴源创	  688001	  华兴源创	  2019-07-22	  
688002	  睿创微纳	  688002	  睿创微纳	  2019-07-22	  
688003	  天准科技	  688003	  天准科技	  2019-07-22	  
688004	  博汇科技	  688004	  博汇科技	  2020-06-12	  
688005	  容百科技	  688005	  容百科技	  2019-07-22	  
688006	  杭可科技	  688006	  杭可科技	  2019-07-22	  
688007	  光峰科技	  688007	  光峰科技	  2019-07-22	  
688008	  澜起科技	  688008	  澜起科技	  2019-07-22	  
688009	  中国通号	  688009	  中国通号	  2019-07-22	  
688010	  福光股份	  688010	  福光股份	  2019-07-22	  
688011	  新光光电	  688011	  新光光电	  2019-07-22	  
688012	  中微公司	  688012	  中微公司	  2019-07-22	  
688013	  天臣医疗	  688013	  天臣医疗	  2020-09-28	  
688015	  交控科技	  688015	  交控科技	  2019-07-22	  
688016	  心脉医疗	  688016	  心脉医疗	  2019-07-22	  
688017	  绿的谐波	  688017	  绿的谐波	  2020-08-28	  
688018	  乐鑫科技	  688018	  乐鑫科技	  2019-07-22	  
688019	  安集科技	  688019	  安集科技	  2019-07-22	  
688020	  方邦股份	  688020	  方邦股份	  2019-07-22	  
688021	  奥福环保	  688021	  奥福环保	  2019-11-06	  
688022	  瀚川智能	  688022	  瀚川智能	  2019-07-22	  
688023	  安恒信息	  688023	  安恒信息	  2019-11-05	  
688025	  杰普特	  688025	  杰普特	  2019-10-31	  
688026	  洁特生物	  688026	  洁特生物	  2020-01-22	  
688027	  国盾量子	  688027	  国盾量子	  2020-07-09	  
688028	  沃尔德	  688028	  沃尔德	  2019-07-22	  
688029	  南微医学	  688029	  南微医学	  2019-07-22	  
688030	  山石网科	  688030	  山石网科	  2019-09-30	  
688033	  天宜上佳	  688033	  天宜上佳	  2019-07-22	  
688036	  传音控股	  688036	  传音控股	  2019-09-30	  
688037	  芯源微	  688037	  芯源微	  2019-12-16	  
688039	  当虹科技	  688039	  当虹科技	  2019-12-11	  
688050	  爱博医疗	  688050	  爱博医疗	  2020-07-29	  
688051	  佳华科技	  688051	  佳华科技	  2020-03-20	  
688055	  龙腾光电	  688055	  龙腾光电	  2020-08-17	  
688056	  莱伯泰科	  688056	  莱伯泰科	  2020-09-02	  
688057	  金达莱	  688057	  金达莱	  2020-11-11	  
688058	  宝兰德	  688058	  宝兰德	  2019-11-01	  
688060	  云涌科技	  688060	  云涌科技	  2020-07-10	  
688065	  凯赛生物	  688065	  凯赛生物	  2020-08-12	  
688066	  航天宏图	  688066	  航天宏图	  2019-07-22	  
688068	  热景生物	  688068	  热景生物	  2019-09-30	  
688069	  德林海	  688069	  德林海	  2020-07-22	  
688077	  大地熊	  688077	  大地熊	  2020-07-22	  
688078	  龙软科技	  688078	  龙软科技	  2019-12-30	  
688080	  映翰通	  688080	  映翰通	  2020-02-12	  
688081	  兴图新科	  688081	  兴图新科	  2020-01-06	  
688085	  三友医疗	  688085	  三友医疗	  2020-04-09	  
688086	  紫晶存储	  688086	  紫晶存储	  2020-02-26	  
688088	  虹软科技	  688088	  虹软科技	  2019-07-22	  
688089	  嘉必优	  688089	  嘉必优	  2019-12-19	  
688090	  瑞松科技	  688090	  瑞松科技	  2020-02-17	  
688093	  世华科技	  688093	  世华科技	  2020-09-30	  
688095	  福昕软件	  688095	  福昕软件	  2020-09-08	  
688096	  京源环保	  688096	  京源环保	  2020-04-09	  
688098	  申联生物	  688098	  申联生物	  2019-10-28	  
688099	  晶晨股份	  688099	  晶晨股份	  2019-08-08	  
688100	  威胜信息	  688100	  威胜信息	  2020-01-21	  
688101	  三达膜	  688101	  三达膜	  2019-11-15	  
688106	  金宏气体	  688106	  金宏气体	  2020-06-16	  
688108	  赛诺医疗	  688108	  赛诺医疗	  2019-10-30	  
688111	  金山办公	  688111	  金山办公	  2019-11-18	  
688116	  天奈科技	  688116	  天奈科技	  2019-09-25	  
688118	  普元信息	  688118	  普元信息	  2019-12-04	  
688122	  西部超导	  688122	  西部超导	  2019-07-22	  
688123	  聚辰股份	  688123	  聚辰股份	  2019-12-23	  
688126	  沪硅产业	  688126	  沪硅产业	  2020-04-20	  
688127	  蓝特光学	  688127	  蓝特光学	  2020-09-21	  
688128	  中国电研	  688128	  中国电研	  2019-11-05	  
688129	  东来技术	  688129	  东来技术	  2020-10-23	  
688133	  泰坦科技	  688133	  泰坦科技	  2020-10-30	  
688135	  利扬芯片	  688135	  利扬芯片	  2020-11-11	  
688138	  清溢光电	  688138	  清溢光电	  2019-11-20	  
688139	  海尔生物	  688139	  海尔生物	  2019-10-25	  
688155	  先惠技术	  688155	  先惠技术	  2020-08-11	  
688156	  路德环境	  688156	  路德环境	  2020-09-22	  
688157	  松井股份	  688157	  松井股份	  2020-06-09	  
688158	  优刻得	  688158	  优刻得	  2020-01-20	  
688159	  有方科技	  688159	  有方科技	  2020-01-23	  
688160	  步科股份	  688160	  步科股份	  2020-11-12	  
688165	  埃夫特	  688165	  埃夫特	  2020-07-15	  
688166	  博瑞医药	  688166	  博瑞医药	  2019-11-08	  
688168	  安博通	  688168	  安博通	  2019-09-06	  
688169	  石头科技	  688169	  石头科技	  2020-02-21	  
688177	  百奥泰	  688177	  百奥泰	  2020-02-21	  
688178	  万德斯	  688178	  万德斯	  2020-01-14	  
688179	  阿拉丁	  688179	  阿拉丁	  2020-10-26	  
688180	  君实生物	  688180	  君实生物	  2020-07-15	  
688181	  八亿时空	  688181	  八亿时空	  2020-01-06	  
688185	  康希诺	  688185	  康希诺	  2020-08-13	  
688186	  广大特材	  688186	  广大特材	  2020-02-11	  
688188	  柏楚电子	  688188	  柏楚电子	  2019-08-08	  
688189	  南新制药	  688189	  南新制药	  2020-03-26	  
688196	  卓越新能	  688196	  卓越新能	  2019-11-21	  
688198	  佰仁医疗	  688198	  佰仁医疗	  2019-12-09	  
688199	  久日新材	  688199	  久日新材	  2019-11-05	  
688200	  华峰测控	  688200	  华峰测控	  2020-02-18	  
688202	  美迪西	  688202	  美迪西	  2019-11-05	  
688208	  道通科技	  688208	  道通科技	  2020-02-13	  
688215	  瑞晟智能	  688215	  瑞晟智能	  2020-08-28	  
688218	  江苏北人	  688218	  江苏北人	  2019-12-11	  
688219	  会通股份	  688219	  会通股份	  2020-11-18	  
688221	  前沿生物	  688221	  前沿生物	  2020-10-28	  
688222	  成都先导	  688222	  成都先导	  2020-04-16	  
688228	  开普云	  688228	  开普云	  2020-03-27	  
688229	  博睿数据	  688229	  博睿数据	  2020-08-17	  
688233	  神工股份	  688233	  神工股份	  2020-02-21	  
688256	  寒武纪	  688256	  寒武纪	  2020-07-20	  
688258	  卓易信息	  688258	  卓易信息	  2019-12-09	  
688266	  泽?制药	  688266	  泽?制药	  2020-01-23	  
688268	  华特气体	  688268	  华特气体	  2019-12-26	  
688277	  天智航	  688277	  天智航	  2020-07-07	  
688278	  特宝生物	  688278	  特宝生物	  2020-01-17	  
688286	  敏芯股份	  688286	  敏芯股份	  2020-08-10	  
688288	  鸿泉物联	  688288	  鸿泉物联	  2019-11-06	  
688289	  圣湘生物	  688289	  圣湘生物	  2020-08-28	  
688298	  东方生物	  688298	  东方生物	  2020-02-05	  
688299	  长阳科技	  688299	  长阳科技	  2019-11-06	  
688300	  联瑞新材	  688300	  联瑞新材	  2019-11-15	  
688301	  奕瑞科技	  688301	  奕瑞科技	  2020-09-18	  
688309	  恒誉环保	  688309	  恒誉环保	  2020-07-14	  
688310	  迈得医疗	  688310	  迈得医疗	  2019-12-03	  
688311	  盟升电子	  688311	  盟升电子	  2020-07-31	  
688312	  燕麦科技	  688312	  燕麦科技	  2020-06-08	  
688313	  仕佳光子	  688313	  仕佳光子	  2020-08-12	  
688318	  财富趋势	  688318	  财富趋势	  2020-04-27	  
688321	  微芯生物	  688321	  微芯生物	  2019-08-12	  
688330	  宏力达	  688330	  宏力达	  2020-10-15	  
688333	  铂力特	  688333	  铂力特	  2019-07-22	  
688335	  复洁环保	  688335	  复洁环保	  2020-08-17	  
688336	  三生国健	  688336	  三生国健	  2020-07-22	  
688338	  赛科希德	  688338	  赛科希德	  2020-08-06	  
688339	  亿华通	  688339	  亿华通	  2020-08-10	  
688356	  键凯科技	  688356	  键凯科技	  2020-08-26	  
688357	  建龙微纳	  688357	  建龙微纳	  2019-12-04	  
688358	  祥生医疗	  688358	  祥生医疗	  2019-12-03	  
688360	  德马科技	  688360	  德马科技	  2020-06-02	  
688363	  华熙生物	  688363	  华熙生物	  2019-11-06	  
688365	  光云科技	  688365	  光云科技	  2020-04-29	  
688366	  昊海生科	  688366	  昊海生科	  2019-10-30	  
688368	  晶丰明源	  688368	  晶丰明源	  2019-10-14	  
688369	  致远互联	  688369	  致远互联	  2019-10-31	  
688377	  迪威尔	  688377	  迪威尔	  2020-07-08	  
688378	  奥来德	  688378	  奥来德	  2020-09-03	  
688379	  华光新材	  688379	  华光新材	  2020-08-19	  
688386	  泛亚微透	  688386	  泛亚微透	  2020-10-16	  
688388	  嘉元科技	  688388	  嘉元科技	  2019-07-22	  
688389	  普门科技	  688389	  普门科技	  2019-11-05	  
688390	  固德威	  688390	  固德威	  2020-09-04	  
688393	  安必平	  688393	  安必平	  2020-08-20	  
688396	  华润微	  688396	  华润微	  2020-02-27	  
688398	  赛特新材	  688398	  赛特新材	  2020-02-11	  
688399	  硕世生物	  688399	  硕世生物	  2019-12-05	  
688408	  中信博	  688408	  中信博	  2020-08-28	  
688418	  震有科技	  688418	  震有科技	  2020-07-22	  
688466	  金科环境	  688466	  金科环境	  2020-05-08	  
688488	  艾迪药业	  688488	  艾迪药业	  2020-07-20	  
688500	  慧辰资讯	  688500	  慧辰资讯	  2020-07-16	  
688505	  复旦张江	  688505	  复旦张江	  2020-06-19	  
688508	  芯朋微	  688508	  芯朋微	  2020-07-22	  
688513	  苑东生物	  688513	  苑东生物	  2020-09-02	  
688516	  奥特维	  688516	  奥特维	  2020-05-21	  
688518	  联赢激光	  688518	  联赢激光	  2020-06-22	  
688519	  南亚新材	  688519	  南亚新材	  2020-08-18	  
688520	  神州细胞	  688520	  神州细胞	  2020-06-22	  
688521	  芯原股份	  688521	  芯原股份	  2020-08-18	  
688526	  科前生物	  688526	  科前生物	  2020-09-22	  
688528	  秦川物联	  688528	  秦川物联	  2020-07-01	  
688529	  豪森股份	  688529	  豪森股份	  2020-11-09	  
688536	  思瑞浦	  688536	  思瑞浦	  2020-09-21	  
688550	  瑞联新材	  688550	  瑞联新材	  2020-09-02	  
688551	  科威尔	  688551	  科威尔	  2020-09-10	  
688555	  泽达易盛	  688555	  泽达易盛	  2020-06-23	  
688556	  高测股份	  688556	  高测股份	  2020-08-07	  
688557	  兰剑智能	  688557	  兰剑智能	  2020-12-02	  
688558	  国盛智科	  688558	  国盛智科	  2020-06-30	  
688559	  海目星	  688559	  海目星	  2020-09-09	  
